'wijk';'year_1999';'year_2000';'year_2001';'year_2002';'year_2003';'year_2004';'year_2005';'year_2006';'year_2007';'year_2008';'year_2009'
'Binnenstad';'-36';'-37';'-4';'-33';'-39';'-4';'-9';'23';'-11';'21';'45'
'Bloemekenswijk';'12';'-7';'-3';'9';'28';'64';'29';'70';'33';'97';'52'
'Brugse Poort - Rooigem';'85';'74';'89';'56';'75';'86';'134';'152';'121';'160';'174'
'Dampoort';'107';'65';'44';'74';'91';'72';'82';'145';'133';'113';'128'
'Drongen';'3';'15';'-9';'-5';'1';'16';'3';'56';'23';'-6';'14'
'Elisabethbegijnhof - Papegaai';'-4';'28';'17';'6';'6';'51';'22';'39';'31';'42';'7'
'Gentbrugge';'4';'-5';'3';'-4';'3';'34';'13';'29';'10';'15';'16'
'Kanaaldorpen en -zone';'5';'-1';'5';'3';'10';'0';'12';'13';'11';'17';'12'
'Ledeberg';'-4';'-31';'-22';'7';'-6';'2';'37';'29';'56';'47';'74'
'Macharius - Heirnis';'47';'22';'35';'80';'45';'84';'70';'85';'66';'80';'87'
'Mariakerke';'17';'3';'2';'-9';'-22';'13';'25';'64';'20';'21';'15'
'Moscou - Vogelhoek';'21';'6';'24';'11';'20';'21';'33';'43';'22';'22';'61'
'Muide - Meulestede - Afrikalaan';'-14';'29';'2';'20';'23';'38';'61';'44';'61';'49';'52'
'Nieuw Gent - UZ';'13';'32';'2';'-10';'16';'38';'31';'53';'67';'68';'63'
'Oostakker';'-1';'27';'-2';'-30';'-9';'2';'23';'44';'20';'3';'54'
'Oud Gentbrugge';'-1';'7';'19';'23';'3';'38';'19';'75';'56';'50';'73'
'Rabot - Blaisantvest';'40';'45';'28';'56';'53';'62';'80';'84';'83';'116';'111'
'Sint Amandsberg';'-16';'-4';'14';'-28';'-11';'13';'18';'91';'68';'66';'74'
'Sint Denijs Westrem';'-4';'-5';'-15';'-19';'-23';'-18';'-24';'-17';'-40';'-14';'-46'
'Sluizeken - Tolhuis - Ham';'-26';'21';'-4';'-20';'-16';'17';'6';'17';'6';'20';'13'
'Stationsbuurt Noord';'27';'15';'-3';'25';'16';'30';'47';'59';'24';'28';'44'
'Stationsbuurt Zuid';'-1';'-4';'2';'5';'-15';'19';'13';'-7';'13';'16';'34'
'Watersportbaan - Ekkergem';'-114';'-106';'-110';'-70';'-100';'-103';'-63';'-40';'-40';'-17';'-26'
'Wondelgem';'4';'-8';'25';'-9';'-9';'-6';'1';'11';'-37';'22';'-13'
'Zwijnaarde';'19';'4';'24';'26';'17';'-2';'9';'8';'12';'-14';'12'
