"Wijken";"Oppervlakte straat|2019"
"Amandus - Atheneum";267921
"Brederode";226286
"Centraal Station";150338
"Dam";259983
"Eilandje";377083
"Haringrode";130097
"Harmonie";125499
"Haven Antwerpen";3056102
"Historisch Centrum";162321
"Kiel";376051
"Linkeroever";1372817
"Luchtbal";320582
"Markgrave";239112
"Middelheim";488618
"Nieuw - Zuid";129103
"Petroleum - Zuid";408995
"Sint-Andries";109766
"Stadspark";209044
"Stuivenberg";251895
"Tentoonstellingswijk";164843
"Theaterbuurt-Meir";189295
"Universiteitsbuurt";145802
"Zuid";263559
"Zurenborg";156062
"Groenenhoek";338531
"Nieuw - Kwartier Oost";406493
"Nieuw - Kwartier West";269653
"Oud - Berchem";518733
"Haven Bezali";1341969
"Lillo";9411
"Polder";1196976
"Borgerhout - Extra Muros";521855
"Borgerhout Intra Muros Noord";280262
"Borgerhout Intra Muros Zuid";262801
"Deurne - Noord";441047
"Kruininge - Bremweide";178777
"Deurne Dorp - Gallifort";260065
"Deurne - Oost";429804
"Deurne - Zuidwest";387049
"Deurne - Zuidoost";352536
"Deurne Vlieghaven";38114
"Rivierenhof";110278
"Donk";378182
"Ekeren Centrum";368244
"Leugenberg";165219
"Mariaburg";157327
"Schoonbroek-Rozemaai";355283
"Muisbroek-Bospolder";223094
"Hoboken - Centrum";361074
"Hoboken - Noord";386793
"Hoboken - West";364016
"Hoboken - Zuidoost";231773
"Lambrechtshoeken";250913
"Merksem - Heide";346368
"Nieuwdreef";173926
"Oud - Merksem";448013
"Tuinwijk";589213
"Hoogte";271578
"Oosterveld - Elsdonk";447451
"Valaar";292199
"Wilrijk Centrum";564499
"Koornbloem";401547
"Neerland";267231
"Schelde";
